"","DBN","School Name","Average Score Regents Algebra","Percentage Passing Regents Algebra","Percentage at college ready threshold Regents Algebra","Average Score Regents Geometry","Percentage Passing Regents Geometry","Percentage at college ready threshold Regents Geometry","Average Score Regents Algebra 2/Trig","Percentage Passing Regents Algebra 2/Trig","Percentage at college ready threshold Regents Algebra 2/Trig","Average Score Regents English","Percentage Passing Regents English","Percentage at college ready threshold Regents English","Average Score Regents US History","Percentage Passing Regents US History","Average Score Regents Global History","Percentage Passing Regents Global History","Average Score Regents Chemistry","Percentage Passing Regents Chemistry","Average Score Regents Physics","Percentage Passing Regents Physics","Average Score Regents Earth Science","Percentage Passing Regents Earth Science","Average Score Regents Living Environment","Percentage Passing Regents Living Environment","Average Score Regents Languages Other Than English","Percentage Passing Regents Languages Other Than English"
"192","10X477","Marble Hill High School for International Studies","70","0.757","0.248","68","0.634","0.203","61","0.427","0.153","74","0.864","0.585","87","0.957","79","0.877","63","0.463","54","0.31",NA,NA,"72","0.776","88","0.933"
"193","10X524","Crotona International High School","55","0.245","0",NA,NA,NA,NA,NA,NA,"48","0.247","0.067",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","10X546","Bronx Theatre High School","66","0.626","0.036","54","0.167","0",NA,NA,NA,"65","0.652","0.274","65","0.606","56","0.251","51","0.056",NA,NA,NA,NA,"62","0.473","85","0.864"
"195","10X549","Discovery High School","74","0.939","0.283","77","0.943","0.414","76","0.889","0.378","82","0.991","0.807","87","1","78","0.954","70","0.842",NA,NA,"81","0.985","77","0.877","83","0.938"
"196","10X565","High School for Energy and Technology","61","0.563","0.01","59","0.39","0.049","55","0.263","0","66","0.647","0.353","78","0.914","58","0.389","69","0.818",NA,NA,"63","0.458","68","0.705","98","1"
"197","10X660","Grace Dodge Career and Technical Education High Sc","59","0.269","0.038",NA,NA,NA,NA,NA,NA,"53","0.327","0.077","63","0.508","54","0.283",NA,NA,NA,NA,NA,NA,"55","0.314",NA,NA
"198","10X696","High School of American Studies at Lehman College","80","1","0.422","87","0.988","0.838","85","0.929","0.761","93","1","1","97","1","93","1","85","1","90","1",NA,NA,"95","1","97","1"
"199","11X249","Bronx Health Sciences High School","59","0.324","0.006","55","0.282","0.017","47","0.161","0.022","80","0.83","0.739","74","0.787","64","0.575","56","0.176","58","0.325",NA,NA,"66","0.618","75","0.75"
"200","11X253","Bronx High School for Writing and Communication Ar","59","0.352","0.021","58","0.417","0",NA,NA,NA,"68","0.719","0.388","76","0.81","57","0.441","51","0.053",NA,NA,NA,NA,"63","0.51","88","1"
"201","11X265","Bronx Lab School",NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","0.696","0.366",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","11X270","Academy for Scholarship and Entrepreneurship: A Co","63","0.451","0.061","50","0.135","0","55","0.15","0","71","0.74","0.538","68","0.692","55","0.367",NA,NA,NA,NA,"59","0.35","62","0.434","83","1"
"203","11X275","High School of Computers and Technology","65","0.626","0.028","66","0.645","0.161","62","0.37","0.185","74","0.758","0.53","82","0.898","68","0.667",NA,NA,"76","0.857","71","0.794","68","0.66",NA,NA
"204","11X288","Collegiate Institute for Math and Science","71","0.761","0.243","67","0.651","0.189","56","0.323","0.032","78","0.87","0.759","80","0.872","68","0.697","63","0.467","62","0.6","71","0.746","72","0.683","89","0.99"
"205","11X290","Bronx Academy of Health Careers","64","0.469","0.077","62","0.396","0.094",NA,NA,NA,"71","0.756","0.504","71","0.75","58","0.41","63","0.407",NA,NA,"61","0.383","68","0.664","94","1"
"206","11X299","Astor Collegiate Academy","65","0.541","0.054","63","0.532","0.013","56","0.294","0.059","72","0.782","0.49","75","0.791","67","0.649","67","0.622",NA,NA,"60","0.368","67","0.632","92","1"
