"","DBN","School Name","Average Score Regents Algebra","Percentage Passing Regents Algebra","Percentage at college ready threshold Regents Algebra","Average Score Regents Geometry","Percentage Passing Regents Geometry","Percentage at college ready threshold Regents Geometry","Average Score Regents Algebra 2/Trig","Percentage Passing Regents Algebra 2/Trig","Percentage at college ready threshold Regents Algebra 2/Trig","Average Score Regents English","Percentage Passing Regents English","Percentage at college ready threshold Regents English","Average Score Regents US History","Percentage Passing Regents US History","Average Score Regents Global History","Percentage Passing Regents Global History","Average Score Regents Chemistry","Percentage Passing Regents Chemistry","Average Score Regents Physics","Percentage Passing Regents Physics","Average Score Regents Earth Science","Percentage Passing Regents Earth Science","Average Score Regents Living Environment","Percentage Passing Regents Living Environment","Average Score Regents Languages Other Than English","Percentage Passing Regents Languages Other Than English"
"2","01M292","Henry Street School for International Studies","64","0.524","0.063","58","0.333","0.056",NA,NA,NA,"66","0.621","0.318","71","0.756","53","0.207",NA,NA,NA,NA,"45","0.1","55","0.319",NA,NA
"3","01M448","University Neighborhood High School","64","0.55","0.042","68","0.598","0.195","62","0.533","0.222","69","0.722","0.417","69","0.694","67","0.637","61","0.4",NA,NA,"65","0.544","68","0.714","85","0.892"
"4","01M450","East Side Community School",NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","0.923","0.538",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","01M509","Marta Valle High School","61","0.407","0.028","66","0.632","0.079","74","0.684","0.421","69","0.738","0.458","79","0.857","63","0.6","73","0.867",NA,NA,"71","0.727","64","0.57","91","1"
"6","01M539","New Explorations into Science, Technology and Math","80","0.915","0.532","83","0.968","0.686","80","0.878","0.581","91","0.995","0.974","91","0.987","87","0.967","80","0.936","81","0.887",NA,NA,"88","0.992","89","0.975"
"7","01M696","Bard High School Early College","73","0.955","0.091",NA,NA,NA,NA,NA,NA,"92","1","0.984","84","0.97","83","0.953","79","0.953",NA,NA,NA,NA,NA,NA,NA,NA
"8","02M047","47 The American Sign Language and English Secondar","60","0.431","0","57","0.309","0",NA,NA,NA,"67","0.661","0.339","70","0.69","57","0.316",NA,NA,"45","0.056","65","0.568","66","0.646","80","0.929"
"9","02M135","The Urban Assembly School for Emergency Management","62","0.458","0.014","72","0.814","0.186",NA,NA,NA,"85","0.972","0.903",NA,NA,"71","0.725",NA,NA,NA,NA,"70","0.712","75","0.882",NA,NA
"10","02M139","Stephen T. Mather Building Arts & Craftsmanship Hi","60","0.333","0.029","52","0.186","0",NA,NA,NA,NA,NA,NA,"56","0.34",NA,NA,NA,NA,NA,NA,NA,NA,"66","0.639",NA,NA
"11","02M280","Manhattan Early College School for Advertising","66","0.69","0.034","73","0.833","0.222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","0.889",NA,NA
"12","02M282","Urban Assembly Maker Academy","70","0.769","0.185","77","1","0.167",NA,NA,NA,NA,NA,NA,"73","0.754",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","02M288","Food and Finance High School","63","0.575","0.034","56","0.252","0","44","0.125","0","72","0.835","0.461","75","0.829","66","0.671",NA,NA,NA,NA,"56","0.253","65","0.53",NA,NA
"14","02M294","Essex Street Academy",NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","0.69","0.417",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","02M296","High School of Hospitality Management","67","0.737","0.045","64","0.567","0.067","43","0.121","0.061","74","0.832","0.628","72","0.79","72","0.812","55","0.151",NA,NA,"57","0.182","72","0.865","96","1"
"16","02M298","Pace High School","67","0.729","0.088","63","0.497","0.078","59","0.396","0.057","82","0.951","0.821","87","0.956","72","0.75","64","0.5",NA,NA,"64","0.511","77","0.837",NA,NA
"17","02M300","Urban Assembly School of Design and Construction,","64","0.58","0.035","66","0.583","0.13","53","0.286","0.071","75","0.846","0.538","67","0.644","61","0.4","63","0.4",NA,NA,NA,NA,"64","0.551",NA,NA
"18","02M303","Facing History School, The",NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","0.627","0.311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","02M305","Urban Assembly Academy of Government and Law, The","64","0.486","0.048","78","0.962","0.346","49","0.091","0.045","74","0.861","0.519","76","0.84","65","0.625","61","0.269",NA,NA,NA,NA,"66","0.592",NA,NA
"20","02M308","Lower Manhattan Arts Academy","66","0.677","0.055","60","0.364","0.068","44","0.125","0.05","77","0.905","0.643","79","0.816","66","0.602","64","0.409",NA,NA,"70","0.714","73","0.778",NA,NA
"21","02M316","Urban Assembly School of Business for Young Women,","57","0.273","0.007","58","0.391","0.046","29","0","0","73","0.821","0.496","68","0.65","54","0.269","53","0.205",NA,NA,"52","0.256","63","0.482","81","0.895"
"22","02M374","Gramercy Arts High School","65","0.579","0.061","63","0.472","0.056","46","0.064","0","73","0.817","0.533","71","0.667","65","0.529","68","0.698",NA,NA,"59","0.373","69","0.671",NA,NA
"23","02M376","NYC iSchool","70","0.968","0.043",NA,NA,NA,NA,NA,NA,"86","0.993","0.89","85","0.956","79","0.932",NA,NA,NA,NA,NA,NA,"77","0.875",NA,NA
"24","02M392","MANHATTAN BUSINESS ACADEMY","62","0.466","0.007","60","0.371","0.086","46","0.115","0","76","0.889","0.646","84","0.922","69","0.682","69","0.611",NA,NA,"56","0.295","75","0.841","94","1"
"25","02M393","BUSINESS OF SPORTS SCHOOL","63","0.47","0.046","56","0.263","0.038",NA,NA,NA,"70","0.779","0.418","68","0.619","60","0.424",NA,NA,NA,NA,"61","0.345","65","0.566","91","1"
"26","02M399","THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY","69","0.757","0.104","69","0.614","0.257","49","0.176","0.088","71","0.808","0.444","68","0.7","65","0.606","60","0.292",NA,NA,"64","0.495","72","0.769","82","0.833"
"27","02M400","High School for Environmental Studies","63","0.497","0.037","66","0.547","0.186","64","0.511","0.244","73","0.8","0.561","79","0.835","67","0.565","66","0.534","71","0.717","64","0.473","71","0.687","88","0.943"
"28","02M407","Institute for Collaborative Education",NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","0.976","0.771",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","02M408","Professional Performing Arts High School","69","0.756","0.114","70","0.704","0.198","69","0.622","0.244","82","0.983","0.784","83","0.965","77","0.867",NA,NA,NA,NA,"71","0.697","75","0.907",NA,NA
"30","02M411","Baruch College Campus High School","77","0.936","0.298","81","0.927","0.67","75","0.752","0.442","85","0.973","0.893","89","0.973","87","0.991","75","0.836",NA,NA,"86","0.967","86","0.967","91","1"
"31","02M412","N.Y.C. Lab School for Collaborative Studies","77","0.988","0.321","83","0.994","0.643","77","0.84","0.491",NA,NA,NA,"93","0.977","82","0.92","68","0.557","80","0.887","75","0.818","85","0.985","90","1"
"32","02M413","School of the Future High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","0.959","0.856",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","02M414","N.Y.C. Museum School","70","0.831","0.124","76","0.918","0.321","66","0.596","0.219","87","0.985","0.969","90","0.984","89","0.983","65","0.531",NA,NA,"83","0.962","83","0.981","87","0.933"
"34","02M416","Eleanor Roosevelt High School","88","1","0.991","84","0.935","0.727","81","0.847","0.626","93","1","0.986","94","1","91","0.986","83","0.973","80","0.881",NA,NA,"91","0.985","94","1"
"35","02M418","Millennium High School","76","0.942","0.36","82","0.98","0.616","81","0.899","0.609","81","1","0.815","91","1","89","0.987","77","0.884","72","0.827",NA,NA,"88","0.968","83","0.888"
"36","02M419","Landmark High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","0.794","0.412",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","02M420","High School for Health Professions and Human Servi","72","0.849","0.191","72","0.798","0.255","64","0.544","0.203","78","0.919","0.679","82","0.898","73","0.75","73","0.847","74","0.815","62","0.424","73","0.762","89","0.975"
"38","02M422","Quest to Learn","66","0.683","0.024","64","0.566","0.079","48","0.231","0.103","79","0.934","0.737","77","0.833","63","0.484","53","0.216",NA,NA,"63","0.465","77","0.789","89","1"
"39","02M425","Leadership and Public Service High School","61","0.386","0","57","0.311","0.049",NA,NA,NA,"71","0.743","0.474","70","0.663","61","0.471",NA,NA,NA,NA,"67","0.646","65","0.55","98","1"
"40","02M427","MANHATTAN ACADEMY FOR ARTS & LANGUAGE","62","0.454","0.056","59","0.356","0.02",NA,NA,NA,"66","0.703","0.328","71","0.788","65","0.641",NA,NA,NA,NA,"55","0.295","66","0.61","95","1"
"41","02M429","Legacy School for Integrated Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","02M437","Hudson High School of Learning Technologies","58","0.313","0","49","0.06","0",NA,NA,NA,"67","0.684","0.287","65","0.603","54","0.296",NA,NA,NA,NA,NA,NA,"64","0.546",NA,NA
"43","02M438","International High School at Union Square","63","0.492","0.104",NA,NA,NA,NA,NA,NA,"56","0.423","0.135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","02M439","Manhattan Village Academy","77","0.977","0.301","75","0.953","0.236","84","0.989","0.684","95","1","0.99","90","1","80","0.962","71","0.835","79","0.92","81","0.972","77","0.917","89","0.99"
"45","02M449","Vanguard High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","0.851","0.588",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","02M459","Manhattan International High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","0.578","0.294",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","02M460","Washington Irving High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,"54","0.235","0","57","0.353","52","0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","02M475","Stuyvesant High School","91","1","0.897","94","0.999","0.987","93","0.991","0.936","91","1","0.991","96","1","94","0.999","89","0.994","91","0.99",NA,NA,"94","1","94","0.997"
"49","02M489","High School of Economics and Finance","69","0.722","0.121","66","0.616","0.142","48","0.226","0.071","78","0.888","0.685","80","0.893","69","0.699","59","0.295","53","0.189","61","0.457","74","0.798","91","1"
"50","02M500","Unity Center for Urban Technologies","65","0.569","0.096","63","0.37","0.111","51","0.188","0.063","75","0.889","0.63","74","0.84","61","0.48","54","0.158",NA,NA,"54","0.467","65","0.573","93","1"
"51","02M507","Urban Assembly Gateway School for Technology","68","0.67","0.117","62","0.483","0.103","46","0.172","0.063","77","0.874","0.629","84","0.934","75","0.781","61","0.353","37","0.045","71","0.71","75","0.826",NA,NA
"52","02M519","Talent Unlimited High School","72","0.92","0.112","76","0.863","0.36","68","0.582","0.352","83","1","0.865","89","0.992","81","0.922","66","0.5","63","0.531",NA,NA,"81","0.944",NA,NA
"53","02M520","Murry Bergtraum High School for Business Careers","62","0.421","0.051","54","0.271","0.093","52","0.233","0.133","68","0.734","0.391","65","0.623","57","0.351","60","0.48",NA,NA,"51","0.271","63","0.52",NA,NA
"54","02M529","Jacqueline Kennedy Onassis High School","61","0.426","0.017","58","0.371","0.098","47","0.063","0.063","71","0.821","0.402","72","0.776","63","0.482","59","0.294",NA,NA,"57","0.4","67","0.624","92","0.986"
"55","02M531","Repertory Company High School for Theatre Arts","72","0.844","0.178","61","0.481","0.037","44","0.081","0","78","0.946","0.607","84","0.967","70","0.722","55","0.091",NA,NA,"68","0.677","75","0.797",NA,NA
"56","02M533","Union Square Academy for Health Sciences","62","0.429","0.046","59","0.429","0.067","36","0.057","0.011","70","0.737","0.439","81","0.923","65","0.579","47","0.065",NA,NA,"70","0.722","66","0.603",NA,NA
"57","02M534","Harvest Collegiate High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","0.915","0.667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","02M542","Manhattan Bridges High School","70","0.837","0.113","69","0.759","0.095","64","0.507","0.134","72","0.873","0.474","80","0.931","65","0.65","57","0.1","55","0.304","68","0.597","73","0.772","94","1"
"59","02M543","New Design High School","68","0.68","0.093",NA,NA,NA,NA,NA,NA,"76","0.865","0.604","71","0.771","64","0.496",NA,NA,NA,NA,"59","0.356","65","0.561",NA,NA
"60","02M545","High School for Dual Language and Asian Studies","83","0.988","0.667","83","0.969","0.612","82","0.851","0.649","79","0.97","0.763","86","0.964","85","0.982","84","0.981","78","0.795","79","0.917","83","0.987","92","0.973"
"61","02M546","Academy for Software Engineering","69","0.739","0.117","65","0.56","0.078","62","0.466","0.193","79","0.954","0.762","74","0.823","68","0.661","71","0.711",NA,NA,"61","0.375","75","0.857",NA,NA
"62","02M551","Urban Assembly New York Harbor School","65","0.567","0.029","68","0.565","0.13","61","0.5","0.219","75","0.817","0.533","77","0.807","69","0.694","69","0.533",NA,NA,"71","0.686","73","0.813",NA,NA
"63","02M580","Richard R. Green High School of Teaching","62","0.467","0.045","56","0.239","0.022","57","0.281","0.063","72","0.769","0.526","69","0.702","58","0.351","59","0.25",NA,NA,"62","0.475","65","0.554","93","0.952"
"64","02M600","The High School of Fashion Industries","68","0.721","0.099","63","0.527","0.04","51","0.239","0.055","80","0.968","0.798","81","0.924","72","0.754","63","0.465",NA,NA,"69","0.679","74","0.8","88","0.946"
"65","02M615","Chelsea Career and Technical Education High School","66","0.667","0.017","68","0.587","0.147","56","0.281","0.063","83","0.958","0.842","83","0.92","70","0.663","79","1",NA,NA,"76","0.892","80","0.945",NA,NA
"66","02M625","High School of Graphic Communication Arts","58","0.308","0.015","48","0.136","0",NA,NA,NA,"67","0.676","0.434","64","0.542","57","0.42",NA,NA,NA,NA,NA,NA,"59","0.456",NA,NA
"67","02M630","Art and Design High School","64","0.586","0.025","70","0.726","0.196","55","0.311","0.059","74","0.849","0.541","80","0.889","68","0.631","63","0.462","72","0.686","67","0.634","76","0.835","91","0.972"
"68","02M655","Life Sciences Secondary School","62","0.478","0.039","65","0.508","0.136","58","0.316","0.026","71","0.788","0.447","66","0.573","63","0.484",NA,NA,NA,NA,"58","0.341","64","0.5","90","1"
"69","03M283","Manhattan Theatre Lab High School","63","0.591","0.045",NA,NA,NA,NA,NA,NA,"63","0.56","0.24","66","0.759","61","0.583",NA,NA,NA,NA,NA,NA,"59","0.333",NA,NA
"70","03M299","High School for Arts, Imagination and Inquiry","63","0.471","0.013","58","0.239","0.014","46","0.091","0","73","0.783","0.557","75","0.871","59","0.424","60","0.211",NA,NA,"66","0.54","68","0.669",NA,NA
"71","03M307","Urban Assembly School for Media Studies, The","66","0.612","0.105","61","0.4","0","60","0.385","0.154","68","0.767","0.356","63","0.551","54","0.285",NA,NA,NA,NA,"70","0.672","70","0.773",NA,NA
"72","03M402","The Urban Assembly School for Green Careers","64","0.528","0.016","58","0.391","0",NA,NA,NA,"67","0.682","0.353","61","0.541","60","0.398",NA,NA,NA,NA,"46","0.068","67","0.59",NA,NA
"73","03M403","The Global Learning Collaborative","64","0.578","0.024","60","0.383","0.043","82","1","0.444","67","0.717","0.337","69","0.672","63","0.525","70","0.778","67","0.467","62","0.393","71","0.78",NA,NA
"74","03M415","Wadleigh Secondary School for the Performing & Vis","57","0.252","0.006","48","0.054","0","45","0.067","0","70","0.765","0.451","73","0.78","63","0.566",NA,NA,NA,NA,"62","0.394","61","0.448",NA,NA
"75","03M417","FRANK McCOURT HIGH SCHOOL","69","0.745","0.131","78","0.903","0.452","62","0.5","0.136","83","0.967","0.867","75","0.847","77","0.79","74","0.946",NA,NA,NA,NA,"75","0.824","93","1"
"76","03M479","Beacon High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,"87","0.995","0.932",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","03M485","Fiorello H. LaGuardia High School of Music & Art a","77","0.959","0.4","82","0.956","0.613","73","0.738","0.426","90","0.995","0.948","91","0.992","87","0.979","72","0.767","70","0.685","78","0.933","89","0.998","94","1"
"78","03M492","High School for Law, Advocacy and Community Justic","61","0.416","0.006","56","0.266","0.031","42","0.09","0.016","72","0.795","0.504","73","0.78","63","0.531","53","0.13",NA,NA,"63","0.49","65","0.538","85","0.915"
"79","03M494","High School of Arts and Technology","61","0.361","0.013","56","0.262","0.033","59","0.353","0.118","65","0.68","0.224","67","0.679","58","0.423","50","0.036",NA,NA,"60","0.404","62","0.423",NA,NA
"80","03M541","Manhattan / Hunter Science High School","77","0.966","0.449","79","0.881","0.492","81","0.885","0.552","86","1","0.941","90","0.981","88","0.984","75","0.855","66","0.541",NA,NA,"86","0.976","91","0.989"
"81","03M859","Special Music School","71","0.886","0.114","75","0.842","0.395","70","0.696","0.391",NA,NA,NA,NA,NA,"83","0.933","65","0.494",NA,NA,NA,NA,NA,NA,"71","0.64"
"82","03M860","Frederick Douglass Academy II Secondary School","61","0.388","0.014","54","0.3","0",NA,NA,NA,"68","0.792","0.299","65","0.581","57","0.374",NA,NA,NA,NA,"58","0.364","63","0.438",NA,NA
"83","04M372","ESPERANZA PREPARATORY ACADEMY","54","0.216","0","44","0.071","0","34","0.05","0","67","0.648","0.37","61","0.481","60","0.39","60","0.391",NA,NA,"57","0.242","58","0.352","88","0.927"
"84","04M409","Coalition School for Social Change","59","0.336","0.031","46","0.158","0",NA,NA,NA,"67","0.648","0.338","59","0.437","55","0.302",NA,NA,NA,NA,"57","0.333","59","0.402",NA,NA
"85","04M435","Manhattan Center for Science and Mathematics","73","0.903","0.18","78","0.902","0.459","77","0.817","0.525","83","0.965","0.863","90","0.983","80","0.899","73","0.792","75","0.82","80","0.895","83","0.918","88","0.972"
"86","04M495","Park East High School","72","0.934","0.115","64","0.568","0.076","39","0","0","75","0.876","0.559","73","0.828","69","0.723","59","0.222",NA,NA,"67","0.569","79","0.947","90","0.947"
"87","04M555","Central Park East High School","74","0.92","0.24","70","0.718","0.255","58","0.355","0.084","81","0.934","0.818","83","0.951","77","0.854","69","0.622","69","0.6","72","0.859","81","0.898","94","0.973"
"88","04M610","Young Women's Leadership School","72","0.809","0.295","78","0.872","0.436","63","0.531","0.148","87","1","0.961","87","0.984","83","0.904","72","0.811",NA,NA,"71","0.73","78","0.886","91","0.967"
"89","04M680","Heritage School, The","62","0.395","0.055","58","0.3","0","55","0.261","0.087","67","0.68","0.289","68","0.676","55","0.353","59","0.2",NA,NA,"69","0.672","54","0.243",NA,NA
"90","05M157","The Urban Assembly School for Global Commerce","62","0.447","0.013","63","0.417","0",NA,NA,NA,NA,NA,NA,NA,NA,"52","0.279",NA,NA,NA,NA,"64","0.478","71","0.791",NA,NA
"91","05M304","Mott Hall High School","58","0.371","0.017","61","0.462","0.038",NA,NA,NA,"68","0.714","0.41","64","0.528","50","0.228",NA,NA,NA,NA,"55","0.286","60","0.435",NA,NA
"92","05M362","Columbia Secondary School","71","0.625","0.375","77","0.896","0.458","66","0.56","0.12","92","1","0.963","89","0.976","89","0.991","78","0.927",NA,NA,NA,NA,"88","1","95","1"
"93","05M367","Academy for Social Action: A College Board School","55","0.265","0.01","51","0.081","0","30","0","0","62","0.579","0.263","58","0.416","53","0.293",NA,NA,NA,NA,"46","0.03","53","0.263",NA,NA
"94","05M369","Urban Assembly School for the Performing Arts","61","0.418","0.02","61","0.31","0.048",NA,NA,NA,"72","0.856","0.4","72","0.731","59","0.399",NA,NA,NA,NA,"49","0.027","64","0.541",NA,NA
"95","05M469","Choir Academy of Harlem",NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","0.813","0.313","67","0.618","60","0.462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","05M499","Frederick Douglass Academy","63","0.503","0.018","71","0.764","0.187","74","0.813","0.355","77","0.898","0.64","74","0.788","69","0.654","69","0.657","77","0.947","63","0.528","74","0.842","85","0.94"
"97","05M670","Thurgood Marshall Academy for Learning and Social","64","0.57","0.019",NA,NA,NA,"63","0.525","0.1","78","0.867","0.664","70","0.714","55","0.267","66","0.667",NA,NA,"52","0.091","66","0.574",NA,NA
"98","05M685","Bread & Roses Integrated Arts High School","58","0.382","0",NA,NA,NA,NA,NA,NA,"56","0.431","0.137","59","0.47","59","0.419",NA,NA,NA,NA,NA,NA,"52","0.167",NA,NA
"99","05M692","High School for Mathematics, Science and Engineeri","85","1","0.757","88","1","0.893","85","0.951","0.734","90","1","0.971","94","1","89","0.992","81","0.947","81","0.91",NA,NA,"90","1","87","0.991"
"100","06M211","Inwood Early College for Health and Information Te","71","0.797","0.22",NA,NA,NA,NA,NA,NA,"81","0.964","0.786",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","06M293","City College Academy of the Arts","66","0.712","0.051","80","0.963","0.519","67","0.542","0.167","82","0.939","0.811","84","0.933","79","0.879","68","0.714","72","0.727",NA,NA,"75","0.833","94","1"
"102","06M346","Community Health Academy of the Heights","67","0.616","0.107","72","0.733","0.267","49","0.2","0.04","72","0.763","0.5","67","0.714","65","0.596","58","0.325","69","0.667",NA,NA,"67","0.639","96","1"
"103","06M348","Washington Heights Expeditionary Learning School","65","0.607","0.031","72","0.765","0.196","64","0.435","0.087","63","0.522","0.261","76","0.831","64","0.58",NA,NA,NA,NA,"70","0.723","69","0.718","95","1"
"104","06M462","The College Academy","63","0.494","0.034","56","0.295","0.049","37","0.115","0.038","61","0.58","0.313","68","0.644","57","0.325","51","0.103",NA,NA,"55","0.288","60","0.461","90","1"
"105","06M463","High School for Media and Communications","57","0.274","0.007","50","0.1","0",NA,NA,NA,"67","0.702","0.384","65","0.547","55","0.361","57","0.154",NA,NA,"56","0.225","61","0.468",NA,NA
"106","06M467","High School for Law and Public Service","60","0.402","0.02","55","0.128","0.013","40","0.03","0","69","0.699","0.426","74","0.782","63","0.585","54","0.095","41","0.045","62","0.402","66","0.639","93","1"
"107","06M468","High School for Health Careers and Sciences","62","0.464","0.052","59","0.346","0.115",NA,NA,NA,"63","0.592","0.296","68","0.675","54","0.314",NA,NA,NA,NA,"65","0.529","68","0.671",NA,NA
"108","06M540","A. Philip Randolph Campus High School","66","0.666","0.078","61","0.476","0.049","59","0.361","0.09","75","0.847","0.638","75","0.814","62","0.479","73","0.822",NA,NA,"62","0.449","72","0.756","85","0.893"
"109","06M552","Gregorio Luperon High School for Science and Mathe","64","0.453","0.084","62","0.464","0.052","60","0.344","0.063","72","0.816","0.557","74","0.806","65","0.565","58","0.303","59","0.429","49","0.13","64","0.522","95","1"
"110","07X221","South Bronx Preparatory: A College Board School","67","0.697","0.025","78","1","0.263",NA,NA,NA,"73","0.871","0.516","78","0.928","72","0.85",NA,NA,NA,NA,"70","0.72","75","0.864",NA,NA
"111","07X223","M.S. 223 The Laboratory School of Finance and Tech","66","0.677","0.046",NA,NA,NA,NA,NA,NA,"75","0.75","0.58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","07X259","H.E.R.O. High (Health, Education, and Research Occ","63","0.497","0","67","0.617","0.106",NA,NA,NA,"76","0.832","0.663",NA,NA,"68","0.608",NA,NA,NA,NA,NA,NA,"63","0.453",NA,NA
"113","07X334","International Community High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","0.598","0.244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","07X427","Community School for Social Justice",NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","0.72","0.44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","07X473","Mott Haven Village Preparatory High School","55","0.175","0","50","0.085","0.017",NA,NA,NA,"73","0.845","0.527","77","0.79","62","0.462",NA,NA,NA,NA,NA,NA,"67","0.621",NA,NA
"116","07X495","University Heights Secondary School",NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","0.893","0.593",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","07X500","Hostos-Lincoln Academy of Science","63","0.431","0.034","76","0.862","0.356","60","0.474","0.14","78","0.882","0.676","82","0.944","71","0.766","67","0.662","77","0.889","60","0.485","81","0.948",NA,NA
"118","07X520","Foreign Language Academy of Global Studies","60","0.415","0.019",NA,NA,NA,NA,NA,NA,"68","0.658","0.447","62","0.576","53","0.294","54","0.118",NA,NA,NA,NA,"59","0.324",NA,NA
"119","07X522","Bronx Design and Construction Academy","61","0.388","0.017","60","0.378","0.054","39","0","0","68","0.643","0.406","67","0.6","55","0.327","52","0.13",NA,NA,NA,NA,"69","0.629",NA,NA
"120","07X527","Bronx Leadership Academy II High School","65","0.634","0.068","64","0.562","0.066","54","0.283","0.087","62","0.525","0.215","72","0.752","57","0.422",NA,NA,NA,NA,NA,NA,"66","0.633","81","0.938"
"121","07X547","New Explorers High School","65","0.627","0.051",NA,NA,NA,NA,NA,NA,"69","0.729","0.365","72","0.727","57","0.302",NA,NA,NA,NA,"54","0.2","67","0.714","94","1"
"122","07X548","Urban Assembly School for Careers in Sports","63","0.543","0.025","58","0.333","0.021","38","0.056","0","72","0.809","0.446","73","0.809","62","0.556","56","0.292",NA,NA,"60","0.453","66","0.627","95","1"
"123","07X551","The Urban Assembly Bronx Academy of Letters","62","0.381","0","61","0.212","0.061",NA,NA,NA,"70","0.753","0.442","73","0.78","65","0.632","64","0.444",NA,NA,"65","0.525","70","0.701",NA,NA
"124","07X600","Alfred E. Smith Career and Technical Education Hig","61","0.448","0.018","59","0.364","0",NA,NA,NA,"69","0.711","0.456","69","0.716","54","0.246",NA,NA,NA,NA,"54","0.392","64","0.587",NA,NA
"125","07X655","Samuel Gompers Career and Technical Education High",NA,NA,NA,NA,NA,NA,NA,NA,NA,"56","0.346","0.077","57","0.5","55","0.333",NA,NA,NA,NA,NA,NA,"61","0.471",NA,NA
"126","07X670","Health Opportunities High School","62","0.496","0.015","63","0.486","0.081","53","0.263","0.053","74","0.766","0.621","67","0.676","72","0.732",NA,NA,NA,NA,"68","0.673","65","0.597",NA,NA
"127","08X269","Bronx Studio School for Writers and Artists","64","0.535","0.063","54","0.178","0.01","34","0","0","76","0.868","0.529","75","0.797","62","0.461","49","0.042",NA,NA,NA,NA,"69","0.711",NA,NA
"128","08X282","Women's Academy of Excellence","59","0.369","0.012","67","0.613","0.226",NA,NA,NA,"71","0.769","0.444","64","0.55","55","0.307","69","0.792",NA,NA,NA,NA,"63","0.452",NA,NA
"129","08X293","Renaissance High School for Musical Theater & Tech","61","0.439","0.013","57","0.274","0.009","40","0.08","0","73","0.803","0.544","80","0.885","70","0.746","71","0.65",NA,NA,"65","0.557","69","0.723","91","1"
"130","08X295","Gateway School for Environmental Research and Tech",NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","0.731","0.192","68","0.593","57","0.333",NA,NA,NA,NA,NA,NA,"60","0.188",NA,NA
"131","08X305","Pablo Neruda Academy","58","0.252","0.034","44","0.119","0.024",NA,NA,NA,"62","0.584","0.186","57","0.438","49","0.168",NA,NA,NA,NA,NA,NA,"56","0.227",NA,NA
"132","08X312","Millennium Art Academy","64","0.545","0.024","62","0.4","0.013","53","0.269","0.038","71","0.809","0.433","66","0.656","64","0.552","60","0.467",NA,NA,"57","0.371","68","0.727","91","1"
"133","08X320","Pelham Lab High School","58","0.298","0",NA,NA,NA,"44","0.1","0.025","77","0.892","0.595",NA,NA,"69","0.671",NA,NA,NA,NA,"61","0.449","62","0.5",NA,NA
"134","08X332","Holcombe L. Rucker School of Community Research","61","0.439","0.024",NA,NA,NA,NA,NA,NA,"67","0.642","0.358","63","0.548","56","0.343",NA,NA,NA,NA,"57","0.25","64","0.575",NA,NA
