Name,Sub,Score
Bronx Design and Construction Academy,Math,NA
Bronx Compass High School,Math,NA
Bronx Collegiate Academy,Math,395
Bronx Collaborative High School,Math,NA
Bronx Center for Science and Mathematics,Math,513
Bronx Career and College Preparatory High School,Math,370
BRONX BRIDGES HIGH SCHOOL,Math,NA
Bronx Aerospace High School,Math,403
Bronx Academy of Health Careers,Math,386
Bronx Academy for Software Engineering (BASE),Math,NA
Bread & Roses Integrated Arts High School,Math,376
Boys and Girls High School,Math,399
Benjamin N. Cardozo High School,Math,563
Benjamin Franklin High School for Finance & Inform,Math,NA
Benjamin Banneker Academy,Math,479
Belmont Preparatory High School,Math,413
Bedford Stuyvesant Collegiate -Uncommon Collegiate,Math,NA
Bedford Academy High School,Math,505
Beacon High School,Math,583
Bayside High School,Math,523
Baruch College Campus High School,Math,592
Bard High School Early College Queens,Math,631
Bard High School Early College,Math,634
Banana Kelly High School,Math,378
Baccalaureate School for Global Education,Math,633
Aviation Career & Technical Education High School,Math,511
Automotive High School,Math,367
August Martin High School,Math,366
Astor Collegiate Academy,Math,422
Arts & Media Preparatory Academy,Math,370
Art and Design High School,Math,455
"Archimedes Academy for Math, Science and Technolog",Math,418
Antonia Pantoja Preparatory Academy: A College Boa,Math,435
All City Leadership Secondary School,Math,467
Alfred E. Smith Career and Technical Education Hig,Math,390
ACORN Community High School,Math,379
Achievement First Endeavor Charter School,Math,452
Achievement First East New York Charter School,Math,NA
Achievement First Crown Heights Charter School,Math,484
Achievement First Bushwick Charter School,Math,507
Academy of Urban Planning,Math,392
Academy of Medical Technology: A College Board Sch,Math,422
Academy of Innovative Technology,Math,395
Academy of Hospitality and Tourism,Math,374
Academy of Finance and  Enterprise,Math,489
Academy of American Studies,Math,495
Academy for Young Writers,Math,382
Academy for Software Engineering,Math,NA
Academy for Social Action: A College Board School,Math,357
Academy for Scholarship and Entrepreneurship: A Co,Math,392
Academy for Language and Technology,Math,371
Academy for Health Careers,Math,406
Academy for Environmental Leadership,Math,365
Academy for Conservation and the Environment,Math,381
Academy for College Preparation and Career Explora,Math,386
Academy for Careers in Television and Film,Math,444
Abraham Lincoln High School,Math,441
A. Philip Randolph Campus High School,Math,459
47 The American Sign Language and English Secondar,Math,NA
"Young Women's Leadership School, Queens",Writing,433
"Young Women's Leadership School, Astoria",Writing,477
Young Women's Leadership School of Brooklyn,Writing,NA
Young Women's Leadership School,Writing,472
York Early College Academy,Writing,473
World View High School,Writing,NA
World Journalism Preparatory: A College Board Scho,Writing,487
World Academy for Total Community Health High Scho,Writing,384
Women's Academy of Excellence,Writing,389
Wings Academy,Writing,373
Williamsburg Preparatory School,Writing,430
Williamsburg High School for Architecture and Desi,Writing,407
Williamsburg Collegiate Charter School,Writing,NA
Williamsburg Charter High School,Writing,395
William E. Grady Career and Technical Education Hi,Writing,387
William Cullen Bryant High School,Writing,426
Westchester Square Academy,Writing,NA
West Bronx Academy for the Future,Writing,378
Washington Irving High School,Writing,405
Washington Heights Expeditionary Learning School,Writing,434
Wadleigh Secondary School for the Performing & Vis,Writing,392
W. H. Maxwell Career and Technical Education High,Writing,350
Victory Collegiate High School,Writing,402
Veritas Academy,Writing,NA
Vanguard High School,Writing,396
Validus Preparatory Academy: An Expeditionary Lear,Writing,384
"Urban Assembly School of Design and Construction,",Writing,403
"Urban Assembly School of Business for Young Women,",Writing,417
Urban Assembly School for Wildlife Conservation,Writing,379
Urban Assembly School for the Performing Arts,Writing,388
"Urban Assembly School for Media Studies, The",Writing,396
Urban Assembly School for Criminal Justice,Writing,417
Urban Assembly School for Careers in Sports,Writing,395
Urban Assembly School for Applied Math and Science,Writing,422
Urban Assembly New York Harbor School,Writing,428
Urban Assembly Maker Academy,Writing,NA
Urban Assembly Institute of Math and Science for Y,Writing,407
Urban Assembly High School of Music and Art,Writing,361
Urban Assembly Gateway School for Technology,Writing,415
"Urban Assembly Academy of Government and Law, The",Writing,381
Urban Action Academy,Writing,393
University Prep Charter High School,Writing,416
University Neighborhood High School,Writing,352
University Heights Secondary School,Writing,424
Unity Center for Urban Technologies,Writing,387
Union Square Academy for Health Sciences,Writing,NA
Transit Tech Career and Technical Education High S,Writing,384
Townsend Harris High School,Writing,661
Tottenville High School,Writing,476
Thurgood Marshall Academy for Learning and Social,Writing,400
Thomas A. Edison Career and Technical Education Hi,Writing,470
Theatre Arts Production Company School,Writing,410
The Urban Assembly School for Law and Justice,Writing,430
The Urban Assembly School for Green Careers,Writing,378
The Urban Assembly School for Global Commerce,Writing,NA
The Urban Assembly School for Emergency Management,Writing,NA
The Urban Assembly School for Collaborative Health,Writing,NA
The Urban Assembly Bronx Academy of Letters,Writing,405
The Uft Charter School,Writing,373
"The School for Classics: An Academy of Thinkers, W",Writing,383
The Opportunity Charter School,Writing,365
The Michael J. Petrides School,Writing,470
The Metropolitan Soundview High School,Writing,422
"The Marie Curie School for Medicine, Nursing, and",Writing,425
