"","DBN","School Name","Average Score SAT Math","Percentage of 4-year Cohort Taking SAT Math","Percentage College Ready SAT Math","Average Score SAT Critical Reading","Percentage of 4-year Cohort Taking SAT Critical Reading","Percentage College Ready SAT Critical Reading","Average Score SAT Writing","Percentage of 4-year Cohort Taking SAT Writing"
"207","84M726","KIPP STAR College Prep Charter School","455","0.842","1","418","0.842","1","411","0.842"
"208","84M336","KIPP Infinity Charter School","489","0.889","1","441","0.889","1","432","0.889"
"209","84K357","KIPP AMP Charter School","452","0.826","1","411","0.826","1","418","0.826"
"210","84X704","KIPP Academy Charter School","516","0.933","1","466","0.933","1","473","0.933"
"211","10X268","Kingsbridge International High School","366","0.507","1","311","0.507","1","310","0.507"
"212","21K468","Kingsborough Early College School","474","0.658","1","462","0.658","1","449","0.658"
"213","84K608","Kings Collegiate Charter School",NA,"0","0",NA,"0","0",NA,"0"
"214","15K592","Khalil Gibran International Academy",NA,NA,NA,NA,NA,NA,NA,NA
"215","14K071","Juan Morel Campos Secondary School","366","0.563","1","356","0.563","1","353","0.563"
"216","09X414","Jonathan Levin High School for Media and Communica","347","0.36","1","344","0.36","1","330","0.36"
"217","84R067","John W. Lavelle Preparatory Charter School",NA,NA,NA,NA,NA,NA,NA,NA
"218","21K540","John Dewey High School","512","0.627","1","418","0.627","1","396","0.627"
"219","25Q425","John Bowne High School","467","0.621","1","422","0.621","1","425","0.621"
"220","27Q480","John Adams High School","418","0.384","1","401","0.384","1","395","0.384"
"221","08X650","Jane Addams High School for Academic Careers","342","0.42","1","360","0.42","1","354","0.42"
"222","22K425","James Madison High School","492","0.69","1","450","0.69","1","444","0.69"
"223","28Q350","Jamaica Gateway to the Sciences","487","0.786","1","460","0.786","1","463","0.786"
"224","02M529","Jacqueline Kennedy Onassis High School","418","0.538","1","422","0.538","1","415","0.538"
"225","28Q157","J.H.S. 157 Stephen A. Halsey",NA,NA,NA,NA,NA,NA,NA,NA
"226","18K563","It Takes a Village Academy","364","0.622","1","374","0.622","1","361","0.622"
"227","06M211","Inwood Early College for Health and Information Te",NA,NA,NA,NA,NA,NA,NA,NA
"228","10X342","International School for Liberal Arts","390","0.192","1","387","0.192","1","379","0.192"
"229","84X347","International Leadership Charter High School","413","0.983","1","421","0.983","1","435","0.983"
"230","24Q236","International High School for Health Sciences",NA,NA,NA,NA,NA,NA,NA,NA
"231","02M438","International High School at Union Square","403","0.532","1","330","0.532","1","316","0.532"
"232","17K524","International High School at Prospect Heights","344","0.817","1","302","0.817","0","300","0.817"
"233","24Q530","International High School at LaGuardia Community C","425","0.717","1","367","0.717","1","365","0.717"
"234","21K337","International High School at Lafayette","424","0.843","1","343","0.843","1","337","0.843"
"235","07X334","International Community High School","345","0.582","1","338","0.582","1","312","0.582"
"236","17K544","International Arts Business School",NA,"0.556","1",NA,"0.556","1",NA,"0.556"
"237","10X368","In-Tech Academy (M.S. / High School 368)","426","0.859","1","419","0.859","1","404","0.859"
"238","29Q243","Institute for Health Professions at Cambria Height",NA,NA,NA,NA,NA,NA,NA,NA
"239","02M407","Institute for Collaborative Education","501","0.786","1","550","0.786","1","541","0.786"
"240","30Q502","Information Technology High School","443","0.588","1","420","0.588","1","411","0.588"
"241","84X345","Hyde Leadership Charter School","428","0.841","1","424","0.841","1","422","0.841"
"242","29Q498","Humanities & Arts Magnet High School","384","0.602","1","409","0.602","1","401","0.602"
"243","02M437","Hudson High School of Learning Technologies","378","0.718","1","407","0.718","1","388","0.718"
"244","07X500","Hostos-Lincoln Academy of Science","463","0.8","1","451","0.8","1","435","0.8"
"245","08X332","Holcombe L. Rucker School of Community Research","376","0.59","1","372","0.59","1","369","0.59"
"246","28Q325","Hillside Arts & Letters Academy","409","0.626","1","399","0.626","1","404","0.626"
"247","28Q505","Hillcrest High School","448","0.518","1","432","0.518","1","426","0.518"
"248","12X550","High School of World Cultures","356","0.382","1","359","0.382","1","347","0.382"
"249","21K348","High School of Sports Management","367","0.562","0","374","0.562","1","361","0.562"
"250","11X509","High School of Language and Innovation","356","0.727","1","340","0.727","1","320","0.727"
"251","02M296","High School of Hospitality Management","451","0.562","1","433","0.562","1","424","0.562"
"252","02M625","High School of Graphic Communication Arts","405","0.312","1","413","0.312","1","414","0.312"
"253","02M489","High School of Economics and Finance","469","0.668","1","442","0.668","1","447","0.668"
"254","11X275","High School of Computers and Technology","396","0.656","1","399","0.656","1","377","0.656"
"255","03M494","High School of Arts and Technology","421","0.444","1","428","0.444","1","406","0.444"
"256","24Q267","High School of Applied Communication","435","0.709","1","437","0.709","1","441","0.709"
"257","10X696","High School of American Studies at Lehman College","669","0.918","1","672","0.918","1","672","0.918"
"258","20K485","High School of  Telecommunication Arts and Technol","475","0.816","1","440","0.816","1","445","0.816"
"259","17K537","High School for Youth and Community Development at","360","0.632","1","382","0.632","1","359","0.632"
"260","09X543","High School for Violin and Dance","363","0.313","1","401","0.313","1","396","0.313"
"261","10X433","High School for Teaching and the Professions","372","0.465","1","361","0.465","1","369","0.465"
"262","17K539","High School for Service & Learning at Erasmus","377","0.455","1","382","0.455","1","356","0.455"
"263","17K546","High School for Public Service: Heroes  of Tomorro","468","0.954","1","454","0.954","1","464","0.954"
"264","18K633","High School for Medical Professions","404","0.602","1","427","0.602","1","424","0.602"
"265","06M463","High School for Media and Communications","378","0.33","1","381","0.33","1","383","0.33"
"266","05M692","High School for Mathematics, Science and Engineeri","683","0.926","1","610","0.926","1","596","0.926"
"267","03M492","High School for Law, Advocacy and Community Justic","415","0.605","1","417","0.605","1","402","0.605"
"268","28Q690","High School for Law Enforcement and Public Safety","410","0.566","1","431","0.566","1","409","0.566"
"269","06M467","High School for Law and Public Service","401","0.441","1","394","0.441","1","381","0.441"
"270","18K617","High School for Innovation in Advertising and Medi","390","0.591","1","410","0.591","1","397","0.591"
"271","02M420","High School for Health Professions and Human Servi","452","0.869","1","445","0.869","1","430","0.869"
"272","06M468","High School for Health Careers and Sciences","374","0.562","1","385","0.562","1","389","0.562"
"273","02M400","High School for Environmental Studies","469","0.74","1","454","0.74","1","444","0.74"
"274","10X565","High School for Energy and Technology",NA,NA,NA,NA,NA,NA,NA,NA
"275","02M545","High School for Dual Language and Asian Studies","613","0.959","1","453","0.959","1","463","0.959"
"276","11X544","High School for Contemporary Arts","367","0.41","1","381","0.41","1","361","0.41"
"277","27Q650","High School for Construction Trades, Engineering a","489","0.789","1","457","0.789","1","451","0.789"
"278","28Q328","High School for Community Leadership","415","0.723","1","392","0.723","1","386","0.723"
"279","19K504","High School for Civil Rights","391","0.264","1","373","0.264","1","376","0.264"
"280","03M299","High School for Arts, Imagination and Inquiry","375","0.588","1","389","0.588","1","380","0.588"
"281","24Q550","High School for Arts and Business","413","0.767","1","405","0.767","1","393","0.767"
"282","04M680","Heritage School, The","385","0.568","1","380","0.568","1","370","0.568"
"283","08X405","Herbert H. Lehman High School","426","0.289","1","419","0.289","1","407","0.289"
"284","01M292","Henry Street School for International Studies","410","0.597","1","406","0.597","1","381","0.597"
"285","07X670","Health Opportunities High School","374","0.579","1","386","0.579","1","382","0.579"
"286","02M534","Harvest Collegiate High School",NA,NA,NA,NA,NA,NA,NA,NA
"287","11X455","Harry S Truman High School","400","0.415","1","401","0.415","1","391","0.415"
"288","84M335","Harlem Village Academy Leadership Charter School","480","0.969","1","463","0.969","1","465","0.969"
"289","84M709","Harlem Village Academy Charter School","487","0.969","1","467","0.969","1","456","0.969"
"290","84M341","Harlem Children's Zone Promise Academy II Charter",NA,NA,NA,NA,NA,NA,NA,NA
"291","84M284","Harlem Children's Zone Promise Academy 1 Charter S",NA,NA,NA,NA,NA,NA,NA,NA
"292","07X259","H.E.R.O. High (Health, Education, and Research Occ",NA,NA,NA,NA,NA,NA,NA,NA
"293","24Q485","Grover Cleveland High School","452","0.389","1","422","0.389","1","416","0.389"
"294","06M552","Gregorio Luperon High School for Science and Mathe","383","0.71","1","355","0.71","1","352","0.71"
"295","14K454","Green School: An Academy for Environmental Careers","384","0.411","1","398","0.411","1","399","0.411"
"296","02M374","Gramercy Arts High School","446","0.796","1","459","0.796","1","455","0.796"
"297","10X660","Grace Dodge Career and Technical Education High Sc","343","0.276","1","366","0.276","1","346","0.276"
"298","16K594","Gotham Professional Arts Academy","377","0.507","1","396","0.507","1","386","0.507"
"299","13K605","George Westinghouse Career and Technical Education","394","0.453","1","422","0.453","1","400","0.453"
"300","29Q272","George Washington Carver High School for the Scien","439","0.635","1","428","0.635","1","419","0.635"
"301","31R064","Gaynor McCown Expeditionary Learning School","442","0.558","1","458","0.558","1","454","0.558"
"302","08X295","Gateway School for Environmental Research and Tech",NA,"0.212","0",NA,"0.212","1",NA,"0.212"
"303","23K514","Frederick Douglass Academy VII High School","400","0.654","1","407","0.654","1","394","0.654"
"304","27Q260","Frederick Douglass Academy VI High School","410","0.301","1","418","0.301","1","407","0.301"
