"","Ranking","School Name","US History Score (%)","Global History Score (%)","Averaged Score (%)"
"307",307,"ACORN Community High School",64,65,64
"308",308,"Academy for Health Careers",69,60,64
"309",309,"Academy for College Preparation and Career Explora",69,59,64
"310",310,"Abraham Lincoln High School",64,63,64
"311",311,"47 The American Sign Language and English Secondar",70,57,64
"312",312,"Sheepshead Bay High School",70,56,63
"313",313,"Monroe Academy for Visual Arts & Design",68,58,63
"314",314,"George Westinghouse Career and Technical Education",68,58,63
"315",315,"East Bronx Academy for the Future",62,64,63
"316",316,"Cultural Academy for the Arts and Sciences",65,61,63
"317",317,"Brooklyn Community High School of Communication, A",65,61,63
"318",318,"Arts & Media Preparatory Academy",69,57,63
"319",319,"Academy for Conservation and the Environment",63,63,63
"320",320,"Wings Academy",67,57,62
"321",321,"Urban Assembly High School of Music and Art",69,56,62
"322",322,"Thurgood Marshall Academy for Learning and Social",70,55,62
"323",323,"The School for Classics: An Academy of Thinkers, W",68,55,62
"324",324,"The College Academy",68,57,62
"325",325,"The Bronxwood Preparatory Academy",65,60,62
"326",326,"School for International Studies",68,56,62
"327",327,"School for Democracy and  Leadership",63,61,62
"328",328,"Peace and Diversity Academy",68,55,62
"329",329,"Mathematics, Science Research and Technology Magne",68,57,62
"330",330,"Martin Van Buren High School",66,59,62
"331",331,"High School of Arts and Technology",67,58,62
"332",332,"High School for Youth and Community Development at",69,55,62
"333",333,"High School for Civil Rights",66,59,62
"334",334,"Heritage School, The",68,55,62
"335",335,"Henry Street School for International Studies",71,53,62
"336",336,"Gateway School for Environmental Research and Tech",68,57,62
"337",337,"Flushing High School",68,57,62
"338",338,"Explorations Academy",67,56,62
"339",339,"Cobble Hill School of American Studies",67,57,62
"340",340,"Brooklyn Theatre Arts High School",66,58,62
"341",341,"Brooklyn Collegiate: A College Board School",57,66,62
"342",342,"Bronx Leadership Academy High School",68,57,62
"343",343,"Alfred E. Smith Career and Technical Education Hig",69,54,62
"344",344,"Academy for Scholarship and Entrepreneurship: A Co",68,55,62
"345",345,"Academy for Environmental Leadership",67,57,62
"346",346,"Urban Assembly School of Business for Young Women,",68,54,61
"347",347,"School for Legal Studies",68,54,61
"348",348,"Murry Bergtraum High School for Business Careers",65,57,61
"349",349,"High School of Language and Innovation",68,54,61
"350",350,"High School for Health Careers and Sciences",68,54,61
"351",351,"Frederick Douglass Academy II Secondary School",65,57,61
"352",352,"Fordham Leadership Academy for Business and Techno",64,58,61
"353",353,"Bronx High School of Business",64,58,61
"354",354,"Bronx Design and Construction Academy",67,55,61
"355",355,"Banana Kelly High School",64,58,61
"356",356,"Antonia Pantoja Preparatory Academy: A College Boa",67,55,61
"357",357,"Academy of Urban Planning",63,59,61
"358",358,"Women's Academy of Excellence",64,55,60
"359",359,"Victory Collegiate High School",66,55,60
"360",360,"The Urban Assembly School for Green Careers",61,60,60
"361",361,"School for Tourism and Hospitality",60,60,60
"362",362,"Renaissance Charter High School for Innovation",65,54,60
"363",363,"Pathways in Technology Early College High School (",60,60,60
"364",364,"Multicultural High School",65,55,60
"365",365,"Morris Academy for Collaborative Studies",67,54,60
"366",366,"Jane Addams High School for Academic Careers",59,61,60
"367",367,"Hudson High School of Learning Technologies",65,54,60
"368",368,"Holcombe L. Rucker School of Community Research",63,56,60
"369",369,"High School of Graphic Communication Arts",64,57,60
"370",370,"High School for Media and Communications",65,55,60
"371",371,"Herbert H. Lehman High School",64,56,60
"372",372,"Frederick Douglass Academy VI High School",66,55,60
"373",373,"ESPERANZA PREPARATORY ACADEMY",61,60,60
"374",374,"Dr. Susan S. McKinney Secondary School of the Arts",67,54,60
"375",375,"DeWitt Clinton High School",66,54,60
"376",376,"Cypress Hills Collegiate Preparatory School",58,63,60
"377",377,"Bronx Theatre High School",65,56,60
"378",378,"Bronx Engineering and Technology Academy",62,58,60
"379",379,"August Martin High School",61,58,60
"380",380,"Bronx Career and College Preparatory High School",61,57,59
"381",381,"Bread & Roses Integrated Arts High School",59,59,59
"382",382,"Archimedes Academy for Math, Science and Technolog",62,56,59
"383",383,"Urban Assembly School for Media Studies, The",63,54,58
"384",384,"Urban Action Academy",61,56,58
"385",385,"Lyons Community School",59,57,58
"386",386,"High School of Sports Management",64,53,58
"387",387,"Green School: An Academy for Environmental Careers",67,50,58
"388",388,"Grace Dodge Career and Technical Education High Sc",63,54,58
"389",389,"Frederick Douglass Academy VII High School",57,60,58
"390",390,"Foreign Language Academy of Global Studies",62,53,58
"391",391,"Felisa Rincon de Gautier Institute for Law and Pub",63,52,58
"392",392,"Brooklyn Lab School",54,62,58
"393",393,"Queens High School for Information, Research, and",62,52,57
"394",394,"Mott Hall High School",64,50,57
"395",395,"Coalition School for Social Change",59,55,57
"396",396,"Automotive High School",61,53,57
"397",397,"Samuel Gompers Career and Technical Education High",57,55,56
"398",398,"Leadership Institute",58,53,56
"399",399,"Juan Morel Campos Secondary School",60,51,56
"400",400,"High School for Contemporary Arts",63,50,56
"401",401,"Frederick Douglass Academy IV Secondary School",56,57,56
"402",402,"Bronx Envision Academy",64,48,56
"403",403,"Bronx Compass High School",59,54,56
"404",404,"Academy of Hospitality and Tourism",61,52,56
"405",405,"Academy for Social Action: A College Board School",58,53,56
"406",406,"The Opportunity Charter School",55,55,55
"407",407,"Washington Irving High School",57,52,54
"408",408,"The High School for Global Citizenship",57,51,54
"409",409,"Bushwick Leaders High School for Academic Excellen",56,51,54
"410",410,"Pablo Neruda Academy",57,49,53
"411",411,"Jonathan Levin High School for Media and Communica",56,49,52
"412",412,"Foundations Academy",57,46,52
"413",413,"BRONX BRIDGES HIGH SCHOOL",52,47,50
"414",414,"World View High School",NA,60,NA
"415",415,"Veritas Academy",63,NA,NA
"416",416,"Vanguard High School",NA,NA,NA
"417",417,"Urban Assembly Maker Academy",73,NA,NA
"418",418,"University Heights Secondary School",NA,NA,NA
"419",419,"The Urban Assembly School for Global Commerce",NA,52,NA
"420",420,"The Urban Assembly School for Emergency Management",NA,71,NA
"421",421,"The Urban Assembly School for Collaborative Health",NA,NA,NA
"422",422,"The Equality Charter School",NA,NA,NA
"423",423,"The Brooklyn School for Math and Research",NA,68,NA
"424",424,"Stephen T. Mather Building Arts & Craftsmanship Hi",56,NA,NA
"425",425,"Special Music School",NA,83,NA
"426",426,"Schuylerville Preparatory High School",NA,70,NA
"427",427,"School of the Future High School",NA,NA,NA
"428",428,"Queens High School for Language Studies",NA,76,NA
"429",429,"Pelham Lab High School",NA,69,NA
"430",430,"Pan American International High School at Monroe",NA,NA,NA
"431",431,"Pan American International High School",NA,NA,NA
"432",432,"Origins High School",NA,61,NA
"433",433,"Ocean Hill Collegiate Charter School",NA,NA,NA
"434",434,"Nelson Mandela High School",53,NA,NA
"435",435,"Middle College High School at LaGuardia Community",NA,NA,NA
"436",436,"Metropolitan Expeditionary Learning School",NA,78,NA
"437",437,"Math, Engineering, and Science Academy Charter Hig",NA,71,NA
"438",438,"Manhattan International High School",NA,NA,NA
"439",439,"Manhattan Early College School for Advertising",NA,NA,NA
"440",440,"M.S. 223 The Laboratory School of Finance and Tech",NA,NA,NA
"441",441,"Legacy School for Integrated Studies",NA,NA,NA
"442",442,"Landmark High School",NA,NA,NA
"443",443,"Kurt Hahn Expeditionary Learning School",NA,NA,NA
"444",444,"J.H.S. 157 Stephen A. Halsey",NA,NA,NA
"445",445,"Inwood Early College for Health and Information Te",NA,NA,NA
"446",446,"International High School for Health Sciences",NA,NA,NA
"447",447,"International High School at Union Square",NA,NA,NA
"448",448,"International High School at Prospect Heights",NA,NA,NA
"449",449,"International High School at LaGuardia Community C",NA,NA,NA
"450",450,"International High School at Lafayette",NA,NA,NA
"451",451,"International Community High School",NA,NA,NA
"452",452,"International Arts Business School",NA,NA,NA
"453",453,"Institute for Health Professions at Cambria Height",NA,NA,NA
"454",454,"Institute for Collaborative Education",NA,NA,NA
"455",455,"Harvest Collegiate High School",NA,NA,NA
"456",456,"H.E.R.O. High (Health, Education, and Research Occ",NA,68,NA
"457",457,"Gotham Professional Arts Academy",NA,NA,NA
"458",458,"Flushing International High School",NA,NA,NA
"459",459,"Fannie Lou Hamer Freedom High School",NA,NA,NA
