"","Ranking","School Name","Averaged Score"
"77",438,"Teachers Preparatory High School",76
"133",439,"Pelham Lab High School",76
"220",440,"John Adams High School",76
"242",441,"Humanities & Arts Magnet High School",76
"244",442,"Hostos-Lincoln Academy of Science",76
"262",443,"High School for Service & Learning at Erasmus",76
"287",444,"Harry S Truman High School",76
"296",445,"Gramercy Arts High School",76
"304",446,"Frederick Douglass Academy VI High School",76
"428",447,"Bronx Engineering and Technology Academy",76
"481",448,"Academy for Health Careers",76
"60",449,"The Uft Charter School",75
"268",450,"High School for Law Enforcement and Public Safety",75
"292",451,"H.E.R.O. High (Health, Education, and Research Occ",75
"314",452,"Foundations Academy",75
"322",453,"Flushing High School",75
"379",454,"Cambria Heights Academy",75
"390",455,"Brooklyn School for Music & Theatre",75
"398",456,"Brooklyn High School of the Arts",75
"407",457,"Bronx Theatre High School",75
"457",458,"August Martin High School",75
"464",459,"Alfred E. Smith Career and Technical Education Hig",75
"484",460,"Academy for College Preparation and Career Explora",75
"11",461,"Wings Academy",74
"48",462,"Transit Tech Career and Technical Education High S",74
"91",463,"Science Skills Center High School for Science, Tec",74
"101",464,"Samuel Gompers Career and Technical Education High",74
"119",465,"Queens Preparatory Academy",74
"169",466,"Monroe Academy for Visual Arts & Design",74
"181",467,"Martin Van Buren High School",74
"260",468,"High School for Violin and Dance",74
"422",469,"Bronx High School for the Visual Arts",74
"462",470,"Antonia Pantoja Preparatory Academy: A College Boa",74
"473",471,"Academy of Hospitality and Tourism",74
"478",472,"Academy for Social Action: A College Board School",74
"96",473,"School for International Studies",73
"162",474,"Murry Bergtraum High School for Business Careers",73
"255",475,"High School of Arts and Technology",73
"282",476,"Heritage School, The",73
"283",477,"Herbert H. Lehman High School",73
"370",478,"Clara Barton High School",73
"380",479,"Business, Computer Applications & Entrepreneurship",73
"399",480,"Brooklyn High School for Law and Technology",73
"415",481,"Bronx Leadership Academy High School",73
"417",482,"Bronx Lab School",73
"458",483,"Astor Collegiate Academy",73
"324",484,"Felisa Rincon de Gautier Institute for Law and Pub",71
"200",485,"Legacy School for Integrated Studies",68
"10",486,"Women's Academy of Excellence",66
"276",487,"High School for Contemporary Arts",66
