"","Ranking","School Name","English Score (%)"
"360",360,"The Brooklyn Academy of Global Finance",67
"361",361,"Rockaway Collegiate High School",67
"362",362,"Pan American International High School",67
"363",363,"Monroe Academy for Visual Arts & Design",67
"364",364,"Leadership Institute",67
"365",365,"Khalil Gibran International Academy",67
"366",366,"Hudson High School of Learning Technologies",67
"367",367,"Holcombe L. Rucker School of Community Research",67
"368",368,"High School of Graphic Communication Arts",67
"369",369,"High School for Youth and Community Development at",67
"370",370,"High School for Media and Communications",67
"371",371,"Heritage School, The",67
"372",372,"Green School: An Academy for Environmental Careers",67
"373",373,"ESPERANZA PREPARATORY ACADEMY",67
"374",374,"East Bronx Academy for the Future",67
"375",375,"DeWitt Clinton High School",67
"376",376,"Coalition School for Social Change",67
"377",377,"Brooklyn International High School",67
"378",378,"Bronxdale High School",67
"379",379,"Bronx High School for Law and Community Service",67
"380",380,"Bronx Guild",67
"381",381,"Bronx Compass High School",67
"382",382,"47 The American Sign Language and English Secondar",67
"383",383,"The Opportunity Charter School",66
"384",384,"School for International Studies",66
"385",385,"School for Democracy and  Leadership",66
"386",386,"Newcomers High School",66
"387",387,"New World High School",66
"388",388,"Metropolitan High School, The",66
"389",389,"Manhattan International High School",66
"390",390,"MANHATTAN ACADEMY FOR ARTS & LANGUAGE",66
"391",391,"High School of Language and Innovation",66
"392",392,"High School for Energy and Technology",66
"393",393,"Henry Street School for International Studies",66
"394",394,"Cypress Hills Collegiate Preparatory School",66
"395",395,"Bronx Engineering and Technology Academy",66
"396",396,"Bronx Collegiate Academy",66
"397",397,"Bronx Career and College Preparatory High School",66
"398",398,"August Martin High School",66
"399",399,"ACORN Community High School",66
"400",400,"World Academy for Total Community Health High Scho",65
"401",401,"W. H. Maxwell Career and Technical Education High",65
"402",402,"Secondary School for Law",65
"403",403,"Renaissance Charter High School for Innovation",65
"404",404,"High School of Arts and Technology",65
"405",405,"High School for Contemporary Arts",65
"406",406,"Herbert H. Lehman High School",65
"407",407,"Frances Perkins Academy",65
"408",408,"Fannie Lou Hamer Freedom High School",65
"409",409,"Explorations Academy",65
"410",410,"Bronx Theatre High School",65
"411",411,"Archimedes Academy for Math, Science and Technolog",65
"412",412,"Academy for Environmental Leadership",65
"413",413,"William E. Grady Career and Technical Education Hi",64
"414",414,"International Community High School",64
"415",415,"High School of Sports Management",64
"416",416,"Gateway School for Environmental Research and Tech",64
"417",417,"Foundations Academy",64
"418",418,"Facing History School, The",64
"419",419,"Academy of Hospitality and Tourism",64
"420",420,"Washington Heights Expeditionary Learning School",63
"421",421,"Peace and Diversity Academy",63
"422",422,"Morris Academy for Collaborative Studies",63
"423",423,"Manhattan Theatre Lab High School",63
"424",424,"High School for Health Careers and Sciences",63
"425",425,"Frederick Douglass Academy VII High School",63
"426",426,"Felisa Rincon de Gautier Institute for Law and Pub",63
"427",427,"Bronx Leadership Academy High School",63
"428",428,"Abraham Lincoln High School",63
"429",429,"Pablo Neruda Academy",62
"430",430,"Juan Morel Campos Secondary School",62
"431",431,"Bronx Leadership Academy II High School",62
"432",432,"Academy for Social Action: A College Board School",62
"433",433,"The College Academy",61
"434",434,"Jane Addams High School for Academic Careers",61
"435",435,"Bushwick Leaders High School for Academic Excellen",61
"436",436,"Brooklyn Lab School",61
"437",437,"Academy of Urban Planning",61
"438",438,"Bronx High School of Business",60
"439",439,"International High School at Lafayette",59
"440",440,"Flushing International High School",59
"441",441,"Banana Kelly High School",59
"442",442,"Multicultural High School",58
"443",443,"International High School at Prospect Heights",58
"444",444,"Kingsbridge International High School",57
"445",445,"Jonathan Levin High School for Media and Communica",57
"446",446,"High School of World Cultures",57
"447",447,"BRONX BRIDGES HIGH SCHOOL",57
"448",448,"The High School for Global Citizenship",56
"449",449,"Samuel Gompers Career and Technical Education High",56
"450",450,"International High School at Union Square",56
"451",451,"High School for Civil Rights",56
"452",452,"Bread & Roses Integrated Arts High School",56
"453",453,"Automotive High School",56
"454",454,"Washington Irving High School",54
"455",455,"Queens High School for Information, Research, and",53
"456",456,"Grace Dodge Career and Technical Education High Sc",53
"457",457,"Claremont International HS",50
"458",458,"Crotona International High School",48
"459",459,"Veritas Academy",NA
"460",460,"Urban Assembly Maker Academy",NA
"461",461,"The Urban Assembly School for Global Commerce",NA
"462",462,"The Urban Assembly School for Collaborative Health",NA
"463",463,"The Equality Charter School",NA
"464",464,"Stephen T. Mather Building Arts & Craftsmanship Hi",NA
"465",465,"Special Music School",NA
"466",466,"Queens High School for the Sciences at York Colleg",NA
"467",467,"Queens High School for Language Studies",NA
"468",468,"Origins High School",NA
"469",469,"Nelson Mandela High School",NA
"470",470,"N.Y.C. Lab School for Collaborative Studies",NA
"471",471,"Manhattan Early College School for Advertising",NA
"472",472,"Legacy School for Integrated Studies",NA
"473",473,"J.H.S. 157 Stephen A. Halsey",NA
"474",474,"International High School for Health Sciences",NA
"475",475,"International Arts Business School",NA
"476",476,"Institute for Health Professions at Cambria Height",NA
"477",477,"Excellence Boys Charter School",NA
"478",478,"Epic High School - South",NA
"479",479,"Epic High School - North",NA
"480",480,"Eagle Academy for Young Men III",NA
"481",481,"Dr. Richard Izquierdo Health and Science Charter S",NA
"482",482,"Coney Island Preparatory Public Charter School",NA
"483",483,"Business Technology Early College High School",NA
"484",484,"Bronx River High School",NA
"485",485,"Bronx Academy for Software Engineering (BASE)",NA
"486",486,"Benjamin Franklin High School for Finance & Inform",NA
"487",487,"Achievement First East New York Charter School",NA
