"","Ranking","School Name","Averaged Score (%)"
"367",367,"High School for Health Careers and Sciences",80
"368",368,"Foundations Academy",80
"369",369,"EBC High School for Public Service - Bushwick",80
"370",370,"City College Academy of the Arts",80
"371",371,"Brooklyn Technical High School",80
"372",372,"Bronx Theatre High School",80
"373",373,"Bronx School for Law, Government and Justice",80
"374",374,"Bronx Lab School",80
"375",375,"Bronx Health Sciences High School",80
"376",376,"Bronx Envision Academy",80
"377",377,"Bronx Engineering and Technology Academy",80
"378",378,"Tottenville High School",79
"379",379,"The Marie Curie School for Medicine, Nursing, and",79
"380",380,"Sheepshead Bay High School",79
"381",381,"School for International Studies",79
"382",382,"Ralph R. McKee Career and Technical Education High",79
"383",383,"Martin Van Buren High School",79
"384",384,"John Adams High School",79
"385",385,"Hostos-Lincoln Academy of Science",79
"386",386,"Gramercy Arts High School",79
"387",387,"Frederick Douglass Academy VII High School",79
"388",388,"Frederick Douglass Academy II Secondary School",79
"389",389,"Curtis High School",79
"390",390,"Brooklyn School for Music & Theatre",79
"391",391,"Bronx School of Law and Finance",79
"392",392,"Bronx Preparatory Charter School",79
"393",393,"Astor Collegiate Academy",79
"394",394,"Arts & Media Preparatory Academy",79
"395",395,"Urban Assembly New York Harbor School",78
"396",396,"The Global Learning Collaborative",78
"397",397,"Teachers Preparatory High School",78
"398",398,"Pelham Lab High School",78
"399",399,"New Explorers High School",78
"400",400,"Monroe Academy for Visual Arts & Design",78
"401",401,"Marta Valle High School",78
"402",402,"Life Sciences Secondary School",78
"403",403,"John Dewey High School",78
"404",404,"Jacqueline Kennedy Onassis High School",78
"405",405,"In-Tech Academy (M.S. / High School 368)",78
"406",406,"Humanities & Arts Magnet High School",78
"407",407,"High School for Law Enforcement and Public Safety",78
"408",408,"High School for Arts, Imagination and Inquiry",78
"409",409,"Henry Street School for International Studies",78
"410",410,"Felisa Rincon de Gautier Institute for Law and Pub",78
"411",411,"BRONX BRIDGES HIGH SCHOOL",78
"412",412,"Bronx Aerospace High School",78
"413",413,"Art and Design High School",78
