"","DBN","School Name","Average Score ACT Math","Percentage of 4-year Cohort Taking ACT Math","Percentage College Ready ACT Math","Average Score ACT English","Percentage of 4-year Cohort Taking ACT English","Percentage College Ready ACT English","Average Score ACT Reading","Percentage of 4-year Cohort Taking ACT Reading","Average Score ACT Science","Percentage of 4-year Cohort Taking ACT Science"
"103","27Q351","Rockaway Collegiate High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"104","27Q308","Robert H. Goddard High School of Communication Art",NA,"0.095","1",NA,"0.095","1",NA,"0.088",NA,"0.095"
"105","24Q560","Robert F. Wagner, Jr. Secondary School for Arts an",NA,"0.017","1",NA,"0.017","1",NA,"0.008",NA,"0.017"
"106","25Q670","Robert F. Kennedy Community High School","19","0.264","1","15","0.264","1","17","0.239","18","0.264"
"107","10X141","Riverdale / Kingsbridge Academy (Middle School / H","23","0.138","1","22","0.138","1","21","0.106","23","0.138"
"108","27Q475","Richmond Hill High School",NA,"0.007","1",NA,"0.007","1",NA,"0.005",NA,"0.007"
"109","02M580","Richard R. Green High School of Teaching","18","0.136","1","16","0.136","1","19","0.12","17","0.136"
"110","02M531","Repertory Company High School for Theatre Arts",NA,"0.07","0",NA,"0.07","0",NA,"0.07",NA,"0.07"
"111","08X293","Renaissance High School for Musical Theater & Tech",NA,"0.008","0",NA,"0.008","1",NA,"0",NA,"0.008"
"112","84Q705","Renaissance Charter School","19","0.712","1","16","0.712","1","19","0.327","18","0.712"
"113","84M433","Renaissance Charter High School for Innovation",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"114","31R600","Ralph R. McKee Career and Technical Education High",NA,"0.093","1",NA,"0.093","1",NA,"0.074",NA,"0.093"
"115","21K344","Rachel Carson High School for Coastal Studies",NA,"0.013","1",NA,"0.013","1",NA,"0.013",NA,"0.013"
"116","02M422","Quest to Learn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","24Q600","Queens Vocational and Technical High School",NA,"0.03","1",NA,"0.03","1",NA,"0.027",NA,"0.03"
"118","25Q252","Queens School of Inquiry, The",NA,"0.118","1",NA,"0.118","1",NA,"0.103",NA,"0.118"
"119","29Q248","Queens Preparatory Academy","18","0.26","1","14","0.26","1","17","0.26","16","0.26"
"120","28Q686","QUEENS METROPOLITAN HIGH SCHOOL","21","0.101","1","18","0.101","1","19","0.074","20","0.101"
"121","26Q566","Queens High School of Teaching, Liberal Arts and t","20","0.167","1","18","0.167","1","19","0.091","20","0.167"
"122","28Q687","Queens High School for the Sciences at York Colleg","31","0.546","1","28","0.546","1","29","0.392","28","0.546"
"123","25Q241","Queens High School for Language Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","27Q302","Queens High School for Information, Research, and",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"125","28Q680","Queens Gateway to Health Sciences Secondary School","23","0.165","1","22","0.165","1","23","0.158","22","0.165"
"126","28Q310","Queens Collegiate: A College Board School",NA,"0.078","1",NA,"0.078","1",NA,"0.058",NA,"0.078"
"127","14K474","PROGRESS High School for Professional Careers",NA,"0.014","0",NA,"0.014","0",NA,"0.007",NA,"0.014"
"128","02M408","Professional Performing Arts High School","21","0.299","1","23","0.299","1","23","0.216","22","0.299"
"129","29Q283","Preparatory Academy for Writers: A College Board S",NA,"0.012","0",NA,"0.012","0",NA,"0.012",NA,"0.012"
"130","31R445","Port Richmond High School","20","0.086","1","17","0.086","1","18","0.075","19","0.086"
"131","19K507","Performing Arts and Technology High School",NA,"0.009","1",NA,"0.009","1",NA,"0.009",NA,"0.009"
"132","11X542","Pelham Preparatory Academy",NA,"0.053","0",NA,"0.053","1",NA,"0.035",NA,"0.053"
"133","08X320","Pelham Lab High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","12X278","Peace and Diversity Academy",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"135","17K122","Pathways in Technology Early College High School (",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"136","29Q259","Pathways College Preparatory School: A College Boa",NA,"0.126","1",NA,"0.126","1",NA,"0.126",NA,"0.126"
"137","15K464","Park Slope Collegiate",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"138","04M495","Park East High School","19","0.198","1","17","0.198","1",NA,"0.104","19","0.198"
"139","12X388","Pan American International High School at Monroe","15","0.3","0","11","0.3","0","13","0.3","15","0.3"
"140","24Q296","Pan American International High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"141","02M298","Pace High School","17","0.633","1","16","0.633","1","15","0.367","17","0.633"
"142","08X305","Pablo Neruda Academy",NA,"0.07","1",NA,"0.07","0",NA,"0.07",NA,"0.07"
"143","22K611","Origins High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","84K777","Ocean Hill Collegiate Charter School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","02M376","NYC iSchool","23","0.29","1","22","0.29","1","22","0.2","22","0.29"
"146","84X395","NYC Charter High School for Architecture, Engineer","16","0.526","1","13","0.526","1",NA,"0.084","16","0.526"
"147","84K693","Northside Charter High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"148","24Q455","Newtown High School","22","0.052","1","18","0.052","1","20","0.044","21","0.052"
"149","30Q555","Newcomers High School",NA,"0.011","1",NA,"0.011","1",NA,"0.011",NA,"0.011"
"150","11X513","New World High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"151","84X553","New Visions Charter High School for the Humanities",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"152","84X539","New Visions Charter High School for Advanced Math",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"153","20K445","New Utrecht High School","22","0.06","1","17","0.06","1","18","0.051","19","0.06"
"154","84M353","New Heights Academy Charter School",NA,"0.047","1",NA,"0.047","0",NA,"0.047",NA,"0.047"
"155","07X547","New Explorers High School",NA,"0.016","1",NA,"0.016","0",NA,"0.016",NA,"0.016"
"156","01M539","New Explorations into Science, Technology and Math","27","0.262","1","27","0.262","1","28","0.254","26","0.262"
"157","31R440","New Dorp High School","21","0.086","1","20","0.086","1","21","0.071","20","0.086"
"158","02M543","New Design High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"159","16K765","Nelson Mandela High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
