"","Ranking","School Name","Averaged Score - all subjects (%)"
"355",355,"Felisa Rincon de Gautier Institute for Law and Pub",NA
"356",356,"FDNY High School for Fire and Life Safety",NA
"357",357,"Fannie Lou Hamer Freedom High School",NA
"358",358,"Facing History School, The",NA
"359",359,"Explorations Academy",NA
"360",360,"Expeditionary Learning School for Community Leader",NA
"361",361,"Excelsior Preparatory High School",NA
"362",362,"Excellence Boys Charter School",NA
"363",363,"Essex Street Academy",NA
"364",364,"ESPERANZA PREPARATORY ACADEMY",NA
"365",365,"Epic High School - South",NA
"366",366,"Epic High School - North",NA
"367",367,"Energy Tech High School",NA
"368",368,"El Puente Academy for Peace and Justice",NA
"369",369,"EBC High School for Public Service - Bushwick",NA
"370",370,"East Side Community School",NA
"371",371,"East New York Family Academy",NA
"372",372,"Eagle Academy for Young Men III",NA
"373",373,"Eagle Academy for Young Men II",NA
"374",374,"Eagle Academy for Young Men",NA
"375",375,"DreamYard Preparatory School",NA
"376",376,"Dr. Susan S. McKinney Secondary School of the Arts",NA
"377",377,"Dr. Richard Izquierdo Health and Science Charter S",NA
"378",378,"Discovery High School",NA
"379",379,"Democracy Prep Harlem Charter School",NA
"380",380,"Cypress Hills Collegiate Preparatory School",NA
"381",381,"Cultural Academy for the Arts and Sciences",NA
"382",382,"CSI High School for International Studies",NA
"383",383,"Crotona International High School",NA
"384",384,"Coney Island Preparatory Public Charter School",NA
"385",385,"Comprehensive Model School Project M.S. 327",NA
"386",386,"Community School for Social Justice",NA
"387",387,"Columbia Secondary School",NA
"388",388,"Cobble Hill School of American Studies",NA
"389",389,"Coalition School for Social Change",NA
"390",390,"Claremont International HS",NA
"391",391,"Clara Barton High School",NA
"392",392,"City Polytechnic High School of Engineering, Archi",NA
"393",393,"Choir Academy of Harlem",NA
"394",394,"Chelsea Career and Technical Education High School",NA
"395",395,"Channel View School for Research",NA
"396",396,"Celia Cruz Bronx High School of Music, The",NA
"397",397,"Business, Computer Applications & Entrepreneurship",NA
"398",398,"Business Technology Early College High School",NA
"399",399,"BUSINESS OF SPORTS SCHOOL",NA
"400",400,"Bushwick School for Social Justice",NA
"401",401,"Bushwick Leaders High School for Academic Excellen",NA
"402",402,"Brownsville Collegiate Charter School",NA
"403",403,"Brooklyn Theatre Arts High School",NA
"404",404,"Brooklyn Secondary School for Collaborative Studie",NA
"405",405,"Brooklyn School for Music & Theatre",NA
"406",406,"Brooklyn School for Global Studies",NA
"407",407,"Brooklyn Prospect Charter School",NA
"408",408,"Brooklyn Latin School, The",NA
"409",409,"Brooklyn Lab School",NA
"410",410,"Brooklyn International High School",NA
"411",411,"Brooklyn Institute for Liberal Arts",NA
"412",412,"Brooklyn High School of the Arts",NA
"413",413,"Brooklyn Generation School",NA
"414",414,"Brooklyn East Collegiate Charter School",NA
"415",415,"Brooklyn Community High School of Communication, A",NA
"416",416,"Brooklyn Collegiate: A College Board School",NA
"417",417,"Brooklyn College Academy",NA
"418",418,"Brooklyn Academy of Science and the Environment",NA
"419",419,"Bronxdale High School",NA
"420",420,"Bronx Theatre High School",NA
"421",421,"Bronx Studio School for Writers and Artists",NA
"422",422,"Bronx School of Law and Finance",NA
