"","school.name","lat","lon","addr","zipcode"
"348","DreamYard Preparatory School",40.8396259,-73.9113888,"240 E 172nd St, Bronx, NY 10457, USA",10457
"349","Dr. Susan S. McKinney Secondary School of the Arts",40.6969046,-73.9759851,"101 Park Ave, Brooklyn, NY 11205, USA",11205
"350","Dr. Richard Izquierdo Health and Science Charter S",40.8273541,-73.9005875,"800 Home St, Bronx, NY 10456, USA",10456
"351","Discovery High School",40.870474,-73.897125,"2780 Reservoir Ave, Bronx, NY 10468, USA",10468
"352","DeWitt Clinton High School",40.881324,-73.887407,"100 W Mosholu Pkwy S, Bronx, NY 10468, USA",10468
"353","Democracy Prep Harlem Charter School",40.814412,-73.945122,"207 W 133rd St, New York, NY 10030, USA",10030
"354","Democracy Prep Charter School",40.8145421,-73.9450301,"222 W 134th St, New York, NY 10030, USA",10030
"355","Cypress Hills Collegiate Preparatory School",40.6930052,-73.8690682,"999 Jamaica Ave, Brooklyn, NY 11208, USA",11208
"356","Curtis High School",40.645186,-74.0816561,"105 Hamilton Ave, Staten Island, NY 10301, USA",10301
"357","Cultural Academy for the Arts and Sciences",40.6480444,-73.9222286,"5800 Tilden Ave, Brooklyn, NY 11203, USA",11203
"358","CSI High School for International Studies",40.5819075,-74.1590049,"100 Essex Dr, Staten Island, NY 10314, USA",10314
"359","Crotona International High School",40.8553839,-73.8823041,"2474 Crotona Ave, Bronx, NY 10458, USA",10458
"360","Coney Island Preparatory Public Charter School",40.5943989,-73.9938545,"8787 24th Ave, Brooklyn, NY 11214, USA",11214
"361","Comprehensive Model School Project M.S. 327",40.8432195,-73.9160047,"1501 Jerome Ave, Bronx, NY 10452, USA",10452
"362","Community School for Social Justice",40.8158033,-73.9298282,"350 Gerard Ave, Bronx, NY 10451, USA",10451
"363","Community Health Academy of the Heights",40.8336419,-73.9422627,"504 W 158th St, New York, NY 10032, USA",10032
"364","Columbia Secondary School",40.810687,-73.956061,"425 W 123rd St, New York, NY 10027, USA",10027
"365","Collegiate Institute for Math and Science",40.8602833,-73.8603759,"925 Astor Ave, Bronx, NY 10469, USA",10469
"366","Cobble Hill School of American Studies",40.6848686,-73.99077,"347 Baltic St, Brooklyn, NY 11201, USA",11201
"367","Coalition School for Social Change",40.7992278,-73.9338214,"2351 1st Avenue, New York, NY 10035, USA",10035
"368","Claremont International HS",40.8396545,-73.9113859,"240 E 172nd St, Bronx, NY 10457, USA",10457
"369","Clara Barton High School",40.6691193,-73.9617434,"901 Classon Ave, Brooklyn, NY 11225, USA",11225
"370","Civic Leadership Academy",40.743204,-73.871482,"45-10 94th St, Queens, NY 11373, USA",11373
"371","City Polytechnic High School of Engineering, Archi",40.6956553,-73.9858309,"105 Tech Pl, Brooklyn, NY 11201, USA",11201
"372","City College Academy of the Arts",40.8608456,-73.9301494,"4600 Broadway, New York, NY 10040, USA",10040
"373","Choir Academy of Harlem",40.8070626,-73.9388294,"2005 Madison Ave, New York, NY 10035, USA",10035
"374","Chelsea Career and Technical Education High School",40.7245689,-74.0048241,"131 6th Ave, New York, NY 10013, USA",10013
"375","Channel View School for Research",40.5866656,-73.8234351,"100-00 Beach Channel Dr, Rockaway Park, NY 11694, USA",11694
"376","Central Park East High School",40.7936899,-73.9491583,"1573 Madison Ave, New York, NY 10029, USA",10029
"377","Celia Cruz Bronx High School of Music, The",40.8705478,-73.8972152,"2780 Reservoir Ave, Bronx, NY 10468, USA",10468
"378","Cambria Heights Academy",40.7116047,-73.7709697,"188-04 91st Ave, Hollis, NY 11423, USA",11423
"379","Business, Computer Applications & Entrepreneurship",40.698328,-73.74615,"207-01 116th Ave, Cambria Heights, NY 11411, USA",11411
"380","Business Technology Early College High School",40.733761,-73.7390273,"230-17 Hillside Avenue, Queens Village, NY 11427, USA",11427
"381","BUSINESS OF SPORTS SCHOOL",40.7639937,-73.9904866,"439 W 49th St, New York, NY 10019, USA",10019
"382","Bushwick School for Social Justice",40.6968124,-73.9117231,"400 Irving Ave, Brooklyn, NY 11237, USA",11237
"383","Bushwick Leaders High School for Academic Excellen",40.6953387,-73.9274444,"797 Bushwick Ave, Brooklyn, NY 11221, USA",11221
"384","Brownsville Collegiate Charter School",40.6686541,-73.9051131,"364 Sackman St, Brooklyn, NY 11212, USA",11212
"385","Brooklyn Theatre Arts High School",40.6335392,-73.9174421,"6565 Flatlands Ave, Brooklyn, NY 11236, USA",11236
"386","Brooklyn Technical High School",40.6895732,-73.9762527,"29 Fort Greene Pl, Brooklyn, NY 11217, USA",11217
"387","Brooklyn Studio Secondary School",40.6048465,-73.9947464,"8310 21st Ave, Brooklyn, NY 11214, USA",11214
"388","Brooklyn Secondary School for Collaborative Studie",40.6794323,-74.0019427,"610 Henry St, Brooklyn, NY 11231, USA",11231
"389","Brooklyn School for Music & Theatre",40.6700279,-73.9610552,"883 Classon Ave, Brooklyn, NY 11225, USA",11225
"390","Brooklyn School for Global Studies",40.6849969,-73.9930755,"284 Baltic St, Brooklyn, NY 11201, USA",11201
"391","Brooklyn Prospect Charter School",40.6480264,-73.9785505,"3002 Fort Hamilton Pkwy, Brooklyn, NY 11218, USA",11218
"392","Brooklyn Preparatory High School",40.7154197,-73.9549291,"257 N 6th St, Brooklyn, NY 11211, USA",11211
"393","Brooklyn Latin School, The",40.7097646,-73.9445189,"223 Graham Ave, Brooklyn, NY 11206, USA",11206
"394","Brooklyn Lab School",40.6928503,-73.8689912,"999 Jamaica Ave, Brooklyn, NY 11208, USA",11208
"395","Brooklyn International High School",40.6973449,-73.9844964,"49 Flatbush Ave Ext, Brooklyn, NY 11201, USA",11201
"396","Brooklyn Institute for Liberal Arts",40.6586122,-73.9430922,"600 Kingston Ave, Brooklyn, NY 11203, USA",11203
"397","Brooklyn High School of the Arts",40.6838346,-73.9803552,"345 Dean St, Brooklyn, NY 11217, USA",11217
"398","Brooklyn High School for Law and Technology",40.6884532,-73.9207644,"1396 Broadway, Brooklyn, NY 11221, USA",11221
"399","Brooklyn Generation School",40.6335392,-73.9174421,"6565 Flatlands Ave, Brooklyn, NY 11236, USA",11236
"400","Brooklyn East Collegiate Charter School",40.678424,-73.9658195,"80 Underhill Ave, Brooklyn, NY 11238, USA",11238
"401","Brooklyn Community High School of Communication, A",40.6917001,-73.9584562,"300 Willoughby Ave, Brooklyn, NY 11205, USA",11205
"402","Brooklyn Collegiate: A College Board School",40.6744933,-73.9132462,"2021 Bergen St, Brooklyn, NY 11233, USA",11233
"403","Brooklyn College Academy",40.6492022,-73.9718961,"350 Coney Island Ave, Brooklyn, NY 11218, USA",11218
"404","Brooklyn Academy of Science and the Environment",40.6700279,-73.9610552,"883 Classon Ave, Brooklyn, NY 11225, USA",11225
"405","Bronxdale High School",40.8603726,-73.8602604,"925 Astor Ave, Bronx, NY 10469, USA",10469
"406","Bronx Theatre High School",40.8774191,-73.9132583,"99 Terrace View Ave, Bronx, NY 10463, USA",10463
"407","Bronx Studio School for Writers and Artists",40.8203983,-73.8929382,"928 Simpson St, Bronx, NY 10459, USA",10459
"408","Bronx School of Law and Finance",40.8776412,-73.913386,"99 Terrace View Ave, Bronx, NY 10463, USA",10463
"409","Bronx School for Law, Government and Justice",40.827493,-73.9190153,"244 E 163rd St, Bronx, NY 10451, USA",10451
"410","Bronx River High School",40.839983,-73.8393794,"3000 E Tremont Ave, Bronx, NY 10461, USA",10461
"411","Bronx Preparatory Charter School",40.8389683,-73.900106,"3872 Third Ave, Bronx, NY 10457, USA",10457
